competitorname,main color,has blue,has red
Reese's Peanut Butter cup, red, 0, 1
Reese's Miniatures, red, 0, 1
Twix, golden, 0, 1
Kit Kat, red, 0, 1
Snickers, brown, 1, 1
Reese's pieces, red, 0, 1
Milky Way, blue, 1, 1
Reese's stuffed with pieces, red, 0, 1
Peanut butter M&M's, red, 0, 1
Nestle Butterfinger, yellow, 1, 0
Peanut M&Ms, yellow, 0, 1
3 Musketeers, gray, 1, 1
Starburst, yellow, 0, 1
100 Grand, red, 0, 1
M&M's, red, 0, 1
Nestle Crunch, blue, 1, 1
Rolo, brown, 0, 1
Milky Way Simply Caramel, yellow, 0, 0
Skittles original, red, 0, 1
Hershey's Krackel, red, 0, 1
Milky Way Midnight, black, 0, 0
Sour Patch Kids, yellow, 1, 1
Snickers Crisper, blue, 1, 1
Hershey's Special Dark, brown, 0, 1
Junior Mints, white, 0, 0
Haribo Gold Bears, golden, 0, 1
Baby Ruth, blue, 1, 1
Hershey's Milk Chocolate, brown, 0, 0
Hershey's Kisses, gray, 0, 0
Nerds, purple, 1, 1
Skittles wildberry, purple, 0, 0
Milk Duds, yellow, 0, 1
Swedish Fish, yellow, 1, 1
Mr Good Bar, yellow, 0, 1
Lifesavers big ring gummies, blue, 1, 0
Sour Patch Tricksters, yellow, 1,1
Air Heads, red, 1, 1
Haribo Sour Bears, golden, 0, 1
Almond Joy, blue, 1, 0
Tootsie Roll Snack Bars, brown, 0, 1
Whoppers, white, 0, 1
Tootsie Pop, any, 1, 1
Mounds, red, 0, 1
Trolli Sour Bites, blue, 1, 1
Gobstopper, yellow, 1, 1
Mike & Ike, green, 1, 1
Payday, white, 1, 1
One quarter, no, 0, 0
Smarties candy, blue, 1, 1
Tootsie Roll Midgies, brown, 0, 1
Twizzlers, red, 0, 1
Welch's Fruit Snacks, blue, 1, 1
Fruit Chews, orange, 1,1
Tootsie Roll Juniors, black, 0, 1
Runts, orange, 1, 1
Dots, yellow, 1, 1
Haribo Twin Snakes, green, 0, 1
Werther's Original Caramel, golden, 0, 1
Laffy Taffy, any, 0, 1
Pop Rocks, any, 1, 1
Dum Dums, red, 1, 1
Now & Later, yellow, 0, 0
Fun Dip, green, 1, 1
Lemonhead, yellow, 1, 0
Warheads, green, 0, 0
Charleston Chew, yellow, 1, 1
Candy Corn, yellow, 0, 1
Nestle Smarties, blue, 1, 1
Pixie Sticks, pink, 1, 1
Red vines, blue, 1, 1
Chewey Lemonhead Fruit Mix, red, 0, 1
Ring pop, any, 1, 1
Sixlets, yellow, 1, 1
Strawberry bon bons, red, 0, 1
Caramel Apple Pops, white, 0, 1
Haribo Happy Cola, red, 0, 1
Sugar Babies, yellow, 0, 1
One dime, no, 0, 0
Sugar Daddy, yellow, 0, 1
Root Beer Barrels, purple, 1, 0
Jawbusters, green, 1, 1
Super Bubble, any, 1, 1
Chiclets, yellow, 0, 1
Boston Baked Beans, red, 0, 1
Nik L Nip, purple, 0, 1
